,GameId,OffenseTeam,DefenseTeam,Down,ToGo,SeriesFirstDown,TeamWin,PlayType,IsTwoPointConversion,IsTwoPointConversionSuccessful,PenaltyTeam,PenaltyType,PenaltyYards,Team,Games,Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,Two Point Conversions,Sacks,Rushing Attempts,Rushing Yards,Rushing Touchdowns,name,Receptions,Recieving TDs,Recieving yards,_links,Rushing yards,Rushing TDs,wins,losses,winRatePercentage
12543,2022101601.0,NE,CLE,1.0,10.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12544,2022101601.0,NE,CLE,2.0,9.0,1.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12545,2022101601.0,NE,CLE,1.0,10.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12546,2022101601.0,CLE,NE,4.0,7.0,0.0,0.0,PUNT,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12547,2022101601.0,CLE,NE,3.0,7.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12548,2022101601.0,CLE,NE,2.0,7.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12549,2022101601.0,CLE,NE,4.0,1.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12550,2022101601.0,CLE,NE,3.0,6.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12551,2022101601.0,CLE,NE,2.0,7.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12553,2022101601.0,CLE,NE,1.0,10.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12554,2022101601.0,CLE,NE,1.0,10.0,1.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12556,2022101606.0,BAL,NYG,1.0,10.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12557,2022101606.0,BAL,NYG,1.0,10.0,1.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12558,2022101606.0,NYG,BAL,0.0,0.0,1.0,0.0,EXTRA POINT,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12559,2022101606.0,NYG,BAL,3.0,4.0,1.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12560,2022101606.0,NYG,BAL,2.0,4.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12561,2022101606.0,NYG,BAL,1.0,5.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12563,2022101606.0,NYG,BAL,3.0,12.0,1.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12564,2022101606.0,NYG,BAL,2.0,7.0,0.0,0.0,PENALTY,0.0,0.0,NYG,ILLEGAL FORMATION,0.0,,,,,,,,,,,,,,,,,,,,,,
12565,2022101606.0,NYG,BAL,1.0,10.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12566,2022101606.0,NYG,BAL,1.0,10.0,1.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12567,2022101606.0,NYG,BAL,3.0,4.0,0.0,0.0,PASS,0.0,0.0,NYG,OFFENSIVE PASS INTERFERENCE,10.0,,,,,,,,,,,,,,,,,,,,,,
12568,2022101606.0,BAL,NYG,0.0,0.0,1.0,0.0,EXTRA POINT,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12569,2022101606.0,BAL,NYG,1.0,10.0,1.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12570,2022101606.0,BAL,NYG,3.0,8.0,1.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12571,2022101606.0,BAL,NYG,2.0,10.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12572,2022101606.0,BAL,NYG,1.0,10.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12573,2022101606.0,NYG,BAL,4.0,2.0,0.0,0.0,PUNT,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12574,2022101606.0,NYG,BAL,3.0,5.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12576,2022101606.0,BAL,NYG,4.0,16.0,0.0,0.0,FIELD GOAL,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12577,2022101606.0,BAL,NYG,3.0,16.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12578,2022101606.0,BAL,NYG,2.0,15.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12580,2022101606.0,BAL,NYG,1.0,10.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12581,2022101606.0,BAL,NYG,1.0,10.0,1.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12582,2022101606.0,BAL,NYG,4.0,14.0,0.0,0.0,PUNT,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12583,2022101606.0,BAL,NYG,3.0,8.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12584,2022101606.0,BAL,NYG,2.0,8.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12585,2022101606.0,BAL,NYG,1.0,10.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12589,2022101605.0,NO,CIN,4.0,17.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12590,2022101605.0,NO,CIN,3.0,10.0,0.0,0.0,SACK,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12591,2022101605.0,NO,CIN,2.0,10.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12592,2022101605.0,NO,CIN,1.0,10.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12594,2022101605.0,NO,CIN,2.0,2.0,1.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12596,2022101605.0,CIN,NO,0.0,0.0,1.0,0.0,TWO-POINT CONVERSION,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12597,2022101605.0,CIN,NO,4.0,20.0,0.0,0.0,FIELD GOAL,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12598,2022101605.0,CIN,NO,3.0,27.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12599,2022101605.0,CIN,NO,2.0,17.0,0.0,0.0,SACK,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12600,2022101605.0,CIN,NO,1.0,10.0,0.0,0.0,SACK,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12601,2022101605.0,CIN,NO,1.0,10.0,1.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12603,2022101605.0,CIN,NO,3.0,7.0,1.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12604,2022101605.0,CIN,NO,1.0,10.0,0.0,0.0,PASS,0.0,0.0,CIN,OFFENSIVE HOLDING,10.0,,,,,,,,,,,,,,,,,,,,,,
12605,2022101605.0,NO,CIN,4.0,9.0,0.0,0.0,FIELD GOAL,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12606,2022101605.0,NO,CIN,3.0,12.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12607,2022101605.0,NO,CIN,2.0,10.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12608,2022101605.0,NO,CIN,1.0,10.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
